PLANT_ID,TIME,HOURS_POST_DEPLOY,SPECIES,TREATMENT,NUM_EGG_PRESENT,PROP_SURV
16,1600,6,INC,CLOSED,2,1
17,1600,6,INC,CLOSED,2,1
18,1600,6,INC,CLOSED,2,1
19,1600,6,INC,CLOSED,2,1
20,1600,6,INC,CLOSED,2,1
21,1600,6,INC,CLOSED,2,1
22,1600,6,INC,CLOSED,2,1
23,1600,6,INC,CLOSED,2,1
24,1600,6,INC,CLOSED,2,1
25,1600,6,INC,CLOSED,2,1
26,1600,6,INC,CLOSED,2,1
27,1600,6,INC,CLOSED,2,1
28,1600,6,INC,CLOSED,2,1
29,1600,6,INC,CLOSED,2,1
30,1600,6,INC,CLOSED,2,1
1,1600,6,SYR,OPEN,2,1
2,1600,6,SYR,OPEN,2,1
3,1600,6,SYR,OPEN,2,1
4,1600,6,SYR,OPEN,2,1
5,1600,6,SYR,OPEN,2,1
6,1600,6,SYR,OPEN,1,0.5
7,1600,6,SYR,OPEN,2,1
8,1600,6,SYR,OPEN,2,1
9,1600,6,SYR,OPEN,2,1
10,1600,6,SYR,OPEN,2,1
11,1600,6,SYR,OPEN,2,1
12,1600,6,SYR,OPEN,1,0.5
13,1600,6,SYR,OPEN,2,1
14,1600,6,SYR,OPEN,0,0
15,1600,6,SYR,OPEN,2,1
16,1600,6,INC,OPEN,2,1
17,1600,6,INC,OPEN,2,1
18,1600,6,INC,OPEN,2,1
19,1600,6,INC,OPEN,2,1
20,1600,6,INC,OPEN,2,1
21,1600,6,INC,OPEN,2,1
22,1600,6,INC,OPEN,2,1
23,1600,6,INC,OPEN,2,1
24,1600,6,INC,OPEN,1,0.5
25,1600,6,INC,OPEN,2,1
26,1600,6,INC,OPEN,2,1
27,1600,6,INC,OPEN,2,1
28,1600,6,INC,OPEN,2,1
29,1600,6,INC,OPEN,2,1
30,1600,6,INC,OPEN,2,1
1,1800,8,SYR,CLOSED,2,1
2,1800,8,SYR,CLOSED,2,1
3,1800,8,SYR,CLOSED,2,1
4,1800,8,SYR,CLOSED,2,1
5,1800,8,SYR,CLOSED,2,1
6,1800,8,SYR,CLOSED,2,1
7,1800,8,SYR,CLOSED,2,1
8,1800,8,SYR,CLOSED,2,1
9,1800,8,SYR,CLOSED,2,1
10,1800,8,SYR,CLOSED,2,1
11,1800,8,SYR,CLOSED,2,1
12,1800,8,SYR,CLOSED,2,1
13,1800,8,SYR,CLOSED,2,1
14,1800,8,SYR,CLOSED,2,1
15,1800,8,SYR,CLOSED,2,1
16,1800,8,INC,CLOSED,2,1
17,1800,8,INC,CLOSED,2,1
18,1800,8,INC,CLOSED,2,1
19,1800,8,INC,CLOSED,2,1
20,1800,8,INC,CLOSED,2,1
21,1800,8,INC,CLOSED,2,1
22,1800,8,INC,CLOSED,2,1
23,1800,8,INC,CLOSED,2,1
24,1800,8,INC,CLOSED,2,1
25,1800,8,INC,CLOSED,2,1
26,1800,8,INC,CLOSED,2,1
27,1800,8,INC,CLOSED,2,1
28,1800,8,INC,CLOSED,2,1
29,1800,8,INC,CLOSED,2,1
30,1800,8,INC,CLOSED,2,1
1,1800,8,SYR,OPEN,2,1
2,1800,8,SYR,OPEN,2,1
3,1800,8,SYR,OPEN,2,1
4,1800,8,SYR,OPEN,0,0
5,1800,8,SYR,OPEN,2,1
6,1800,8,SYR,OPEN,1,0.5
7,1800,8,SYR,OPEN,2,1
8,1800,8,SYR,OPEN,2,1
9,1800,8,SYR,OPEN,2,1
10,1800,8,SYR,OPEN,2,1
11,1800,8,SYR,OPEN,2,1
12,1800,8,SYR,OPEN,0,0
13,1800,8,SYR,OPEN,0,0
14,1800,8,SYR,OPEN,0,0
15,1800,8,SYR,OPEN,0,0
16,1800,8,INC,OPEN,2,1
17,1800,8,INC,OPEN,2,1
18,1800,8,INC,OPEN,2,1
19,1800,8,INC,OPEN,2,1
