PLANT_ID,TIME,HOURS_POST_DEPLOY,SPECIES,TREATMENT,NUM_EGG_PRESENT,PROP_SURV
3,1000,24,SYR,OPEN,0,0
4,1000,24,SYR,OPEN,0,0
5,1000,24,SYR,OPEN,0,0
6,1000,24,SYR,OPEN,0,0
7,1000,24,SYR,OPEN,0,0
8,1000,24,SYR,OPEN,1,0.5
9,1000,24,SYR,OPEN,2,1
10,1000,24,SYR,OPEN,1,0.5
11,1000,24,SYR,OPEN,0,0
12,1000,24,SYR,OPEN,0,0
13,1000,24,SYR,OPEN,0,0
14,1000,24,SYR,OPEN,0,0
15,1000,24,SYR,OPEN,0,0
16,1000,24,INC,OPEN,1,0.5
17,1000,24,INC,OPEN,0,0
18,1000,24,INC,OPEN,2,1
19,1000,24,INC,OPEN,0,0
20,1000,24,INC,OPEN,2,1
21,1000,24,INC,OPEN,1,0.5
22,1000,24,INC,OPEN,1,0.5
23,1000,24,INC,OPEN,0,0
24,1000,24,INC,OPEN,1,0.5
25,1000,24,INC,OPEN,0,0
26,1000,24,INC,OPEN,1,0.5
27,1000,24,INC,OPEN,1,0.5
28,1000,24,INC,OPEN,2,1
29,1000,24,INC,OPEN,1,0.5
30,1000,24,INC,OPEN,0,0
1,1200,26,SYR,CLOSED,2,1
2,1200,26,SYR,CLOSED,2,1
3,1200,26,SYR,CLOSED,2,1
4,1200,26,SYR,CLOSED,2,1
5,1200,26,SYR,CLOSED,2,1
6,1200,26,SYR,CLOSED,2,1
7,1200,26,SYR,CLOSED,2,1
8,1200,26,SYR,CLOSED,1,0.5
9,1200,26,SYR,CLOSED,2,1
10,1200,26,SYR,CLOSED,2,1
11,1200,26,SYR,CLOSED,2,1
12,1200,26,SYR,CLOSED,2,1
13,1200,26,SYR,CLOSED,2,1
14,1200,26,SYR,CLOSED,2,1
15,1200,26,SYR,CLOSED,2,1
16,1200,26,INC,CLOSED,2,1
17,1200,26,INC,CLOSED,2,1
18,1200,26,INC,CLOSED,2,1
19,1200,26,INC,CLOSED,2,1
20,1200,26,INC,CLOSED,2,1
21,1200,26,INC,CLOSED,2,1
22,1200,26,INC,CLOSED,2,1
23,1200,26,INC,CLOSED,2,1
24,1200,26,INC,CLOSED,2,1
25,1200,26,INC,CLOSED,2,1
26,1200,26,INC,CLOSED,2,1
27,1200,26,INC,CLOSED,2,1
28,1200,26,INC,CLOSED,2,1
29,1200,26,INC,CLOSED,2,1
30,1200,26,INC,CLOSED,2,1
1,1200,26,SYR,OPEN,2,1
2,1200,26,SYR,OPEN,0,0
3,1200,26,SYR,OPEN,0,0
4,1200,26,SYR,OPEN,0,0
5,1200,26,SYR,OPEN,0,0
6,1200,26,SYR,OPEN,0,0
7,1200,26,SYR,OPEN,0,0
8,1200,26,SYR,OPEN,1,0.5
9,1200,26,SYR,OPEN,2,1
10,1200,26,SYR,OPEN,1,0.5
11,1200,26,SYR,OPEN,0,0
12,1200,26,SYR,OPEN,0,0
13,1200,26,SYR,OPEN,0,0
14,1200,26,SYR,OPEN,0,0
15,1200,26,SYR,OPEN,0,0
16,1200,26,INC,OPEN,1,0.5
17,1200,26,INC,OPEN,0,0
18,1200,26,INC,OPEN,2,1
19,1200,26,INC,OPEN,0,0
20,1200,26,INC,OPEN,2,1
21,1200,26,INC,OPEN,1,0.5
22,1200,26,INC,OPEN,1,0.5
23,1200,26,INC,OPEN,0,0
24,1200,26,INC,OPEN,1,0.5
25,1200,26,INC,OPEN,0,0
26,1200,26,INC,OPEN,1,0.5
27,1200,26,INC,OPEN,1,0.5
28,1200,26,INC,OPEN,2,1
29,1200,26,INC,OPEN,1,0.5
30,1200,26,INC,OPEN,0,0
