PLANT_ID,TIME_ID,TIME,SPECIES,TREATMENT,NUM_EGGS_PRESENT,PROP_SURV
9,3,4P,SYR,CLOSED,2,1
9,3,4P,SYR,OPEN,2,1
10,3,4P,SYR,CLOSED,2,1
10,3,4P,SYR,OPEN,2,1
11,3,4P,SYR,CLOSED,2,1
11,3,4P,SYR,OPEN,2,1
12,3,4P,SYR,CLOSED,2,1
12,3,4P,SYR,OPEN,1,0.5
13,3,4P,SYR,CLOSED,2,1
13,3,4P,SYR,OPEN,2,1
14,3,4P,SYR,CLOSED,2,1
14,3,4P,SYR,OPEN,0,0
15,3,4P,SYR,CLOSED,2,1
15,3,4P,SYR,OPEN,2,1
16,3,4P,INC,CLOSED,2,1
16,3,4P,INC,OPEN,2,1
17,3,4P,INC,CLOSED,2,1
17,3,4P,INC,OPEN,2,1
18,3,4P,INC,CLOSED,2,1
18,3,4P,INC,OPEN,2,1
19,3,4P,INC,CLOSED,2,1
19,3,4P,INC,OPEN,2,1
20,3,4P,INC,CLOSED,2,1
20,3,4P,INC,OPEN,2,1
21,3,4P,INC,CLOSED,2,1
21,3,4P,INC,OPEN,2,1
22,3,4P,INC,CLOSED,2,1
22,3,4P,INC,OPEN,2,1
23,3,4P,INC,CLOSED,2,1
23,3,4P,INC,OPEN,2,1
24,3,4P,INC,CLOSED,2,1
24,3,4P,INC,OPEN,1,0.5
25,3,4P,INC,CLOSED,2,1
25,3,4P,INC,OPEN,2,1
26,3,4P,INC,CLOSED,2,1
26,3,4P,INC,OPEN,2,1
27,3,4P,INC,CLOSED,2,1
27,3,4P,INC,OPEN,2,1
28,3,4P,INC,CLOSED,2,1
28,3,4P,INC,OPEN,2,1
29,3,4P,INC,CLOSED,2,1
29,3,4P,INC,OPEN,2,1
30,3,4P,INC,CLOSED,2,1
30,3,4P,INC,OPEN,2,1
1,4,6p,SYR,CLOSED,2,1
1,4,6p,SYR,OPEN,2,1
2,4,6p,SYR,CLOSED,2,1
2,4,6p,SYR,OPEN,2,1
3,4,6p,SYR,CLOSED,2,1
3,4,6p,SYR,OPEN,2,1
4,4,6p,SYR,CLOSED,2,1
4,4,6p,SYR,OPEN,0,0
5,4,6p,SYR,CLOSED,2,1
5,4,6p,SYR,OPEN,2,1
6,4,6p,SYR,CLOSED,2,1
6,4,6p,SYR,OPEN,1,0.5
7,4,6p,SYR,CLOSED,2,1
7,4,6p,SYR,OPEN,2,1
8,4,6p,SYR,CLOSED,2,1
8,4,6p,SYR,OPEN,2,1
9,4,6p,SYR,CLOSED,2,1
9,4,6p,SYR,OPEN,2,1
10,4,6p,SYR,CLOSED,2,1
10,4,6p,SYR,OPEN,2,1
11,4,6p,SYR,CLOSED,2,1
11,4,6p,SYR,OPEN,2,1
12,4,6p,SYR,CLOSED,2,1
12,4,6p,SYR,OPEN,1,0.5
13,4,6p,SYR,CLOSED,2,1
13,4,6p,SYR,OPEN,1,0.5
14,4,6p,SYR,CLOSED,2,1
14,4,6p,SYR,OPEN,0,0
15,4,6p,SYR,CLOSED,2,1
15,4,6p,SYR,OPEN,0,0
16,4,6p,INC,CLOSED,2,1
16,4,6p,INC,OPEN,2,1
17,4,6p,INC,CLOSED,2,1
17,4,6p,INC,OPEN,2,1
18,4,6p,INC,CLOSED,2,1
18,4,6p,INC,OPEN,2,1
19,4,6p,INC,CLOSED,2,1
19,4,6p,INC,OPEN,2,1
20,4,6p,INC,CLOSED,2,1
20,4,6p,INC,OPEN,2,1
21,4,6p,INC,CLOSED,2,1
21,4,6p,INC,OPEN,2,1
22,4,6p,INC,CLOSED,2,1
22,4,6p,INC,OPEN,2,1
23,4,6p,INC,CLOSED,2,1
23,4,6p,INC,OPEN,2,1
24,4,6p,INC,CLOSED,2,1
24,4,6p,INC,OPEN,1,0.5
25,4,6p,INC,CLOSED,2,1
25,4,6p,INC,OPEN,2,1
26,4,6p,INC,CLOSED,2,1
26,4,6p,INC,OPEN,2,1
27,4,6p,INC,CLOSED,2,1
27,4,6p,INC,OPEN,2,1
28,4,6p,INC,CLOSED,2,1
28,4,6p,INC,OPEN,2,1
29,4,6p,INC,CLOSED,2,1
29,4,6p,INC,OPEN,2,1
30,4,6p,INC,CLOSED,2,1
30,4,6p,INC,OPEN,2,1
1,5,8P,SYR,CLOSED,2,1
1,5,8P,SYR,OPEN,2,1
2,5,8P,SYR,CLOSED,2,1
2,5,8P,SYR,OPEN,2,1
3,5,8P,SYR,CLOSED,2,1
3,5,8P,SYR,OPEN,2,1
4,5,8P,SYR,CLOSED,2,1
4,5,8P,SYR,OPEN,0,0
5,5,8P,SYR,CLOSED,2,1
5,5,8P,SYR,OPEN,2,1
6,5,8P,SYR,CLOSED,2,1
6,5,8P,SYR,OPEN,1,0.5
7,5,8P,SYR,CLOSED,2,1
7,5,8P,SYR,OPEN,2,1
8,5,8P,SYR,CLOSED,2,1
8,5,8P,SYR,OPEN,2,1
9,5,8P,SYR,CLOSED,2,1
9,5,8P,SYR,OPEN,2,1
10,5,8P,SYR,CLOSED,2,1
10,5,8P,SYR,OPEN,2,1
11,5,8P,SYR,CLOSED,2,1
11,5,8P,SYR,OPEN,2,1
12,5,8P,SYR,CLOSED,2,1
12,5,8P,SYR,OPEN,0,0
13,5,8P,SYR,CLOSED,2,1
13,5,8P,SYR,OPEN,0,0
14,5,8P,SYR,CLOSED,2,1
14,5,8P,SYR,OPEN,0,0
15,5,8P,SYR,CLOSED,2,1
15,5,8P,SYR,OPEN,0,0
16,5,8P,INC,CLOSED,2,1
16,5,8P,INC,OPEN,2,1
17,5,8P,INC,CLOSED,2,1
17,5,8P,INC,OPEN,2,1
18,5,8P,INC,CLOSED,2,1
18,5,8P,INC,OPEN,2,1
19,5,8P,INC,CLOSED,2,1
19,5,8P,INC,OPEN,2,1
20,5,8P,INC,CLOSED,2,1
20,5,8P,INC,OPEN,2,1
21,5,8P,INC,CLOSED,2,1
21,5,8P,INC,OPEN,2,1
22,5,8P,INC,CLOSED,2,1
22,5,8P,INC,OPEN,2,1
23,5,8P,INC,CLOSED,2,1
23,5,8P,INC,OPEN,2,1
24,5,8P,INC,CLOSED,2,1
24,5,8P,INC,OPEN,1,0.5
25,5,8P,INC,CLOSED,2,1
25,5,8P,INC,OPEN,2,1
26,5,8P,INC,CLOSED,2,1
26,5,8P,INC,OPEN,2,1
27,5,8P,INC,CLOSED,2,1
27,5,8P,INC,OPEN,2,1
28,5,8P,INC,CLOSED,2,1
28,5,8P,INC,OPEN,2,1
29,5,8P,INC,CLOSED,2,1
29,5,8P,INC,OPEN,2,1
30,5,8P,INC,CLOSED,2,1
30,5,8P,INC,OPEN,2,1
1,6,10P,SYR,CLOSED,2,1
1,6,10P,SYR,OPEN,2,1
2,6,10P,SYR,CLOSED,2,1
2,6,10P,SYR,OPEN,2,1
3,6,10P,SYR,CLOSED,2,1
3,6,10P,SYR,OPEN,2,1
4,6,10P,SYR,CLOSED,2,1
4,6,10P,SYR,OPEN,0,0
5,6,10P,SYR,CLOSED,2,1
5,6,10P,SYR,OPEN,1,0.5
6,6,10P,SYR,CLOSED,2,1
6,6,10P,SYR,OPEN,0,0
7,6,10P,SYR,CLOSED,2,1
7,6,10P,SYR,OPEN,0,0
8,6,10P,SYR,CLOSED,2,1
8,6,10P,SYR,OPEN,2,1
9,6,10P,SYR,CLOSED,2,1
9,6,10P,SYR,OPEN,2,1
10,6,10P,SYR,CLOSED,2,1
10,6,10P,SYR,OPEN,2,1
11,6,10P,SYR,CLOSED,2,1
11,6,10P,SYR,OPEN,1,0.5
12,6,10P,SYR,CLOSED,2,1
12,6,10P,SYR,OPEN,0,0
13,6,10P,SYR,CLOSED,2,1
13,6,10P,SYR,OPEN,0,0
14,6,10P,SYR,CLOSED,2,1
14,6,10P,SYR,OPEN,0,0
15,6,10P,SYR,CLOSED,2,1
15,6,10P,SYR,OPEN,0,0
16,6,10P,INC,CLOSED,2,1
16,6,10P,INC,OPEN,1,0.5
17,6,10P,INC,CLOSED,2,1
17,6,10P,INC,OPEN,1,0.5
18,6,10P,INC,CLOSED,2,1
18,6,10P,INC,OPEN,2,1
19,6,10P,INC,CLOSED,2,1
19,6,10P,INC,OPEN,1,0.5
20,6,10P,INC,CLOSED,2,1
20,6,10P,INC,OPEN,2,1
21,6,10P,INC,CLOSED,2,1
21,6,10P,INC,OPEN,2,1
22,6,10P,INC,CLOSED,2,1
22,6,10P,INC,OPEN,2,1
23,6,10P,INC,CLOSED,2,1
23,6,10P,INC,OPEN,2,1
24,6,10P,INC,CLOSED,2,1
24,6,10P,INC,OPEN,1,0.5
25,6,10P,INC,CLOSED,2,1
25,6,10P,INC,OPEN,0,0
26,6,10P,INC,CLOSED,2,1
26,6,10P,INC,OPEN,2,1
27,6,10P,INC,CLOSED,2,1
27,6,10P,INC,OPEN,2,1
28,6,10P,INC,CLOSED,2,1
28,6,10P,INC,OPEN,2,1
29,6,10P,INC,CLOSED,2,1
29,6,10P,INC,OPEN,2,1
30,6,10P,INC,CLOSED,2,1
30,6,10P,INC,OPEN,2,1
1,7,12A,SYR,CLOSED,2,1
1,7,12A,SYR,OPEN,2,1
2,7,12A,SYR,CLOSED,2,1
2,7,12A,SYR,OPEN,0,0
3,7,12A,SYR,CLOSED,2,1
3,7,12A,SYR,OPEN,1,0.5
4,7,12A,SYR,CLOSED,2,1
4,7,12A,SYR,OPEN,0,0
5,7,12A,SYR,CLOSED,2,1
5,7,12A,SYR,OPEN,1,0.5
6,7,12A,SYR,CLOSED,2,1
6,7,12A,SYR,OPEN,0,0
7,7,12A,SYR,CLOSED,2,1
7,7,12A,SYR,OPEN,0,0
8,7,12A,SYR,CLOSED,2,1
8,7,12A,SYR,OPEN,2,1
9,7,12A,SYR,CLOSED,2,1
9,7,12A,SYR,OPEN,2,1
10,7,12A,SYR,CLOSED,2,1
10,7,12A,SYR,OPEN,2,1
11,7,12A,SYR,CLOSED,2,1
11,7,12A,SYR,OPEN,1,0.5
12,7,12A,SYR,CLOSED,2,1
12,7,12A,SYR,OPEN,0,0
13,7,12A,SYR,CLOSED,2,1
13,7,12A,SYR,OPEN,0,0
14,7,12A,SYR,CLOSED,2,1
14,7,12A,SYR,OPEN,0,0
15,7,12A,SYR,CLOSED,2,1
15,7,12A,SYR,OPEN,0,0
16,7,12A,INC,CLOSED,2,1
16,7,12A,INC,OPEN,1,0.5
17,7,12A,INC,CLOSED,2,1
17,7,12A,INC,OPEN,1,0.5
18,7,12A,INC,CLOSED,2,1
18,7,12A,INC,OPEN,2,1
19,7,12A,INC,CLOSED,2,1
19,7,12A,INC,OPEN,1,0.5
20,7,12A,INC,CLOSED,2,1
20,7,12A,INC,OPEN,2,1
21,7,12A,INC,CLOSED,2,1
21,7,12A,INC,OPEN,2,1
22,7,12A,INC,CLOSED,2,1
22,7,12A,INC,OPEN,2,1
23,7,12A,INC,CLOSED,2,1
23,7,12A,INC,OPEN,2,1
24,7,12A,INC,CLOSED,2,1
24,7,12A,INC,OPEN,1,0.5
25,7,12A,INC,CLOSED,2,1
25,7,12A,INC,OPEN,0,0
26,7,12A,INC,CLOSED,2,1
26,7,12A,INC,OPEN,2,1
27,7,12A,INC,CLOSED,2,1
27,7,12A,INC,OPEN,2,1
28,7,12A,INC,CLOSED,2,1
28,7,12A,INC,OPEN,2,1
29,7,12A,INC,CLOSED,2,1
29,7,12A,INC,OPEN,2,1
30,7,12A,INC,CLOSED,2,1
30,7,12A,INC,OPEN,2,1
1,8,2A,SYR,CLOSED,2,1
1,8,2A,SYR,OPEN,2,1
2,8,2A,SYR,CLOSED,2,1
2,8,2A,SYR,OPEN,0,0
3,8,2A,SYR,CLOSED,2,1
3,8,2A,SYR,OPEN,1,0.5
4,8,2A,SYR,CLOSED,2,1
4,8,2A,SYR,OPEN,0,0
5,8,2A,SYR,CLOSED,2,1
5,8,2A,SYR,OPEN,0,0
6,8,2A,SYR,CLOSED,2,1
6,8,2A,SYR,OPEN,0,0
